date	numbers	moneyball
Friday, April 5, 2013	[8, 15, 23, 36, 41]	05
Tuesday, April 2, 2013	[7, 10, 14, 40, 47]	34
Friday, March 29, 2013	[25, 31, 36, 46, 53]	21
Tuesday, March 26, 2013	[20, 33, 46, 49, 51]	46
Friday, March 22, 2013	[14, 27, 34, 37, 41]	38
Tuesday, March 19, 2013	[3, 6, 14, 21, 37]	35
Friday, March 15, 2013	[4, 8, 17, 22, 32]	08
Tuesday, March 12, 2013	[9, 12, 19, 20, 30]	39
Friday, March 8, 2013	[4, 11, 25, 34, 35]	44
Tuesday, March 5, 2013	[6, 20, 39, 41, 46]	42
Friday, March 1, 2013	[17, 30, 38, 43, 51]	20
Tuesday, February 26, 2013	[6, 7, 13, 15, 43]	07
Friday, February 22, 2013	[9, 13, 24, 38, 49]	30
Tuesday, February 19, 2013	[1, 15, 19, 30, 56]	28
Friday, February 15, 2013	[11, 35, 41, 42, 44]	42
Tuesday, February 12, 2013	[9, 22, 32, 38, 55]	44
Friday, February 8, 2013	[6, 15, 20, 39, 50]	05
Tuesday, February 5, 2013	[2, 5, 10, 26, 44]	46
Friday, February 1, 2013	[1, 30, 32, 40, 41]	17
Tuesday, January 29, 2013	[8, 12, 27, 46, 47]	06
Friday, January 25, 2013	[11, 12, 17, 31, 48]	01
Tuesday, January 22, 2013	[7, 11, 16, 39, 54]	13
Friday, January 18, 2013	[8, 18, 25, 42, 49]	14
Tuesday, January 15, 2013	[1, 6, 12, 19, 41]	14
Friday, January 11, 2013	[24, 29, 30, 34, 56]	01
Tuesday, January 8, 2013	[3, 20, 21, 38, 42]	19
Friday, January 4, 2013	[1, 2, 23, 25, 55]	39
Tuesday, January 1, 2013	[4, 11, 21, 25, 44]	29
Friday, December 28, 2012	[10, 13, 32, 40, 41]	32
Tuesday, December 25, 2012	[2, 3, 18, 34, 48]	36
Friday, December 21, 2012	[3, 18, 32, 41, 56]	19
Tuesday, December 18, 2012	[1, 6, 7, 18, 29]	16
